Table S10. Characteristics of the 28,947 TEs annotated in the 47 genomes analyzed in this work that were transfered to the reference genome. "TEs used in the site frequency spectrum (SFS) analysis" are the result of filtering out the insertions < 120bp long  (28,365 TEs). "North America" and "Europe" refers to the number of strains containing that particular in those continents (see Table S15). "Other" refers to the TEs which are neither from Europe or North America.																					
TE name	Chromosome	Start	End	Strand	Class	Order	SuperFamily	Family	TE present in REF	Number of genomes present (47)	Genomes	TE name (in strain)	TE length c	TE ratio vs family consensus sequence (in strains)	Recombination rate Comeron et al 2012	Recombination rate Fiston-Lavier et al 2011	Recombination classification	TE used in SFS analysis	Europe	North_America	Other
FBti0019112	2L	2933354	2935475	#ERROR!	DNA	TIR	TcMar-Pogo	pogo	YES	28	ORE;B6;B4;JUT-008;MUN-008;AB8;A3;B2;GIM-012;AKA-018;JUT-011;COR-018;TEN-015;A1;SLA-001;A7;MUN-015;GIM-024;RAL-737;A5;B1;RAL-426;TOM-008;RAL-176;TOM-007;MUN-016;MUN-020;ISO-1	ORE_28_pogo;B6_27_pogo;B4_21_pogo;JUT-008_24_pogo;MUN-008_23_pogo;AB8_24_pogo;A3_22_pogo;B2_32_pogo;GIM-012_26_pogo;AKA-018_25_pogo;JUT-011_23_pogo;COR-018_30_pogo;TEN-015_28_pogo;A1_27_pogo;SLA-001_34_pogo;A7_25_pogo;MUN-015_13_pogo;GIM-024_24_pogo;RAL-737_30_pogo;A5_23_pogo;B1_30_pogo;RAL-426_32_pogo;TOM-008_24_pogo;RAL-176_22_pogo;TOM-007_32_pogo;MUN-016_28_pogo;MUN-020_24_pogo;FBti0019112	2122;2122;2122;2118;2120;2123;2122;2122;2127;2121;2121;2133;2121;2122;2121;2118;2124;2121;2130;2122;2122;2119;2115;2127;6867;2121;2113;2121	0.95;0.95;0.95;0.948;0.949;0.951;0.95;0.95;0.953;0.95;0.95;0.955;0.95;0.95;0.95;0.948;0.951;0.95;0.954;0.95;0.95;0.949;0.947;0.953;3.075;0.95;0.946;.	0.938200554	3.26	HRR	YES	9	16	3
FBti0019133	2L	7579255	7579380	#ERROR!	RNA	LINE	Jockey	BS	YES	24	ORE;B3;JUT-008;AB8;MUN-013;A3;B2;JUT-011;TEN-015;RAL-177;A4;A1;SLA-001;RAL-059;KIE-094;GIM-024;LUN-007;A5;B1;RAL-426;COR-023;TOM-007;MUN-016;ISO-1	ORE_80_BS;B3_68_BS;JUT-008_72_BS;AB8_87_BS;MUN-013_136_BS;A3_77_BS;B2_92_BS;JUT-011_81_BS;TEN-015_87_BS;RAL-177_102_BS;A4_82_BS;A1_82_BS;SLA-001_91_BS;RAL-059_177_BS;KIE-094_84_BS;GIM-024_76_BS;LUN-007_98_BS;A5_80_BS;B1_84_BS;RAL-426_109_BS;COR-023_78_BS;TOM-007_116_BS;MUN-016_82_BS;FBti0019133	125;126;125;125;125;125;124;125;126;124;125;126;124;124;125;125;125;113;124;121;125;125;124;125	0.023;0.024;0.023;0.023;0.023;0.023;0.023;0.023;0.024;0.023;0.023;0.024;0.023;0.023;0.023;0.023;0.023;0.021;0.023;0.023;0.023;0.023;0.023;.	2.580051524	4.24	HRR	YES	7	13	4
FBti0059794	2L	11215132	11218743	-	RNA	LINE	Jockey	Doc	YES	1	ISO-1	FBti0059794	3611	.	.	.	.	YES	1	0	0
FBti0019149	2L	11315294	11317659	#ERROR!	RNA	LINE	Jockey	G2	YES	1	ISO-1	FBti0019149	2365	.	.	.	.	YES	1	0	0
FBti0019153	2L	11897168	11900029	#ERROR!	RNA	LINE	Jockey	BS2	YES	13	RAL-426;COR-023;AKA-018;ORE;A6;B6;B4;MUN-008;STO-022;A3;LUN-007;A7;ISO-1	ORE_133_BS2;A6_158_BS2;B6_133_BS2;B4_123_BS2;MUN-008_148_BS2;A3_124_BS2;STO-022_141_BS2;AKA-018_174_BS2;A7_123_BS2;LUN-007_144_BS2;RAL-426_178_BS2;COR-023_117_BS2;FBti0019153	2806;2872;2871;2872;2872;2872;2869;2869;2872;2870;2867;2870;2861	0.583;0.597;0.597;0.597;0.597;0.597;0.596;0.596;0.597;0.597;0.596;0.597;.	1.993676178	3.55	HRR	YES	6	6	1
FBti0019170	2L	13560515	13565210	#ERROR!	RNA	LINE	Jockey	F-element	YES	14	COR-023;AKA-018;ORE;GIM-024;JUT-008;COR-014;A4;A1;MUN-016;RAL-059;MUN-013;A3;LUN-007;ISO-1	ORE_155_F-element;JUT-008_173_F-element;MUN-013_208_F-element;A3_138_F-element;AKA-018_198_F-element;AKA-018_199_F-element;A4_140_F-element;A1_157_F-element;RAL-059_283_F-element;GIM-024_143_F-element;COR-014_126_F-element;LUN-007_167_F-element;COR-023_140_F-element;MUN-016_164_F-element;FBti0019170	4694;4693;4683;4694;4691;4662;4694;4651;4695;4689;4686;4693;4684;4694;4695	0.992;0.992;0.989;0.992;0.991;0.985;0.992;0.983;0.992;0.991;0.99;0.992;0.99;0.992;.	3.635527148	2.85	HRR	YES	4	9	1
FBti0060388	2L	13783721	13783957	#ERROR!	DNA	TIR	TcMar-Tc1	S-element	YES	47	A2;ORE;A6;B6;B4;B3;JUT-008;MUN-008;AB8;AKA-017;MUN-013;A3;STO-022;B2;GIM-012;AKA-018;JUT-011;COR-018;TEN-015;RAL-177;A4;A1;RAL-375;SLA-001;RAL-059;A7;MUN-015;KIE-094;GIM-024;COR-014;RAL-737;LUN-007;A5;COR-025;B1;RAL-426;COR-023;RAL-091;TOM-008;RAL-176;TOM-007;MUN-009;MUN-016;MUN-020;RAL-855;ISO-1;LUN-004	A2_174_S-element;ORE_159_S-element;A6_187_S-element;B6_160_S-element;B4_155_S-element;B3_137_S-element;JUT-008_176_S-element;MUN-008_171_S-element;AB8_158_S-element;AKA-017_157_S-element;MUN-013_224_S-element;A3_144_S-element;STO-022_168_S-element;B2_169_S-element;GIM-012_146_S-element;AKA-018_202_S-element;JUT-011_154_S-element;COR-018_170_S-element;TEN-015_150_S-element;RAL-177_172_S-element;A4_143_S-element;A1_162_S-element;RAL-375_156_S-element;SLA-001_168_S-element;RAL-059_291_S-element;A7_143_S-element;MUN-015_140_S-element;KIE-094_144_S-element;GIM-024_150_S-element;COR-014_132_S-element;RAL-737_158_S-element;LUN-007_171_S-element;A5_156_S-element;COR-025_199_S-element;B1_148_S-element;RAL-426_216_S-element;COR-023_142_S-element;RAL-091_224_S-element;RAL-091_213_S-element;TOM-008_186_S-element;RAL-176_158_S-element;TOM-007_187_S-element;MUN-009_155_S-element;MUN-016_165_S-element;MUN-020_157_S-element;RAL-855_186_S-element;FBti0060388;LUN-004_137_S-element	193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;193;194;193;193;193;193;192;193;193;193;193;193;193;190;193;193;193;193;193;193;193;195;193;193;193;193;193;193;194;193;236;193	0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.107;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.105;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.107;0.106;0.106;0.106;0.106;0.106;0.106;0.107;0.106;.;0.106	3.987352355	2.75	HRR	YES	16	26	5
FBti0019771	2L	17335603	17336708	#ERROR!	DNA	TIR	P	1360	YES	14	GIM-012;A2;B6;COR-018;TEN-015;COR-014;A4;A5;AKA-017;MUN-013;STO-022;LUN-007;B2;ISO-1	A2_235_1360;B6_229_1360;AKA-017_217_1360;MUN-013_283_1360;STO-022_223_1360;B2_238_1360;GIM-012_214_1360;COR-018_275_1360;TEN-015_204_1360;A4_209_1360;COR-014_186_1360;LUN-007_223_1360;A5_220_1360;FBti0019771	785;1106;785;1106;1105;1106;783;1106;785;1106;772;772;785;1105	0.16899999999999998;0.239;0.169;0.239;0.238;0.239;0.169;0.239;0.169;0.239;0.167;0.167;0.16899999999999998;.	1.172750693	0.41	HRR	YES	3	9	2
FBti0019191	2L	17687542	17692249	#ERROR!	RNA	LINE	Jockey	F-element	YES	1	ISO-1	FBti0019191	4707	.	.	.	.	YES	1	0	0
FBti0019199	2L	18581421	18584216	#ERROR!	RNA	LINE	Jockey	Doc	YES	4	A1;RAL-059;ISO-1;RAL-176	A1_259_Doc;RAL-059_376_Doc;RAL-176_319_Doc;FBti0019199	2803;2813;2807;2795	0.586;0.588;0.587;.	0.234550139	0	LRR	YES	4	0	0
